Game,first_0,second_0,third_0,fourth_0
145,22836.23,11389.065,240186.83,52965.86
146,648296.7,862089.6,4413.0854,3550654.5
147,50339.117,130305.41,1552.5964,78475.63
148,205188.88,46653.914,188512.78,121718.18
149,37818.86,4771515.5,54650.363,23854.615
150,11124566.0,39598.188,4931.2393,80694.32
151,103291.59,17610.389,4202.253,953351.94
152,909443.06,1247736.9,89388.63,357738.66
153,30585.135,5316912.0,864.91064,50389.523
154,1137622.6,146462.81,728890.56,1721819.5
155,2564296.5,1706713.0,16628.146,34575.223
156,7267.322,26814.84,1018151.94,99220.35
157,1524715.6,1668933.1,13518.387,2908247.8
158,207173.47,1248741.0,1148405.4,1856413.6
159,2259960.5,1944833.4,371331.2,201791.58
160,56052.215,99238.99,642255.8,7381458.5
161,2146590.5,4434701.0,15002.557,416866.97
162,191747.05,176741.55,2394.592,114652.38
163,3081691.5,528771.75,321049.22,1517307.5
164,158281.9,8359.036,634531.44,8787.502
165,1375790.2,2380004.0,218129.56,587173.7
166,209787.25,1059092.2,47598.66,2024004.4
167,4429618.0,4179298.2,1315.8362,8409004.0
168,246837.64,970817.56,806904.44,173357.19
169,1215406.0,6378269.0,91521.74,1452104.5
170,1581108.1,833846.56,188677.12,223231.52
171,56080.047,103793.836,17704.85,6974730.5
172,8815892.0,1686563.9,276951.22,481643.16
173,617831.6,1983258.5,20207.648,3814689.5
174,24758.428,32945.184,769809.5,131441.55
175,585416.56,1011199.56,68965.83,2652683.8
176,1272795.9,1535168.1,573493.94,114425.81
177,40441.477,16703.477,223756.0,377770.03
178,5331602.5,1578493.4,1236076.8,9647156.0
179,5479343.5,52793.0,98293.06,180291.31
180,64236.984,2020837.4,462453.34,902325.25
181,1013160.4,212256.73,508031.5,4712229.5
182,4989289.0,262455.78,153615.44,261217.94
183,3499600.8,744119.8,152453.27,3336690.5
184,7275515.5,176784.31,523155.44,353000.56
185,2050268.6,8271371.5,43931.39,215249.45
186,6602701.5,410360.06,1119021.9,3987758.0
187,199297.8,112355.65,4379.7275,93324.88
188,4990946.5,227287.92,517999.56,1579347.2
189,363735.16,9043364.0,12049.364,28740.24
190,37675.348,711987.75,1838640.2,14247435.0
