Game,first_0,second_0,third_0,fourth_0
0,660114.56,69861.52,76992.984,70576.7
1,4504.707,381351.66,163225.78,5934.4487
2,3172.7727,34543.91,7668.452,232.42232
3,961161.94,948.5559,1525.6827,167.84833
4,38820.1,462.75937,69004.92,367761.0
5,1472.6978,739.9075,1394.4291,310.29892
6,11776.901,701549.5,918995.5,150.99857
7,178.7298,8111.4087,19075.4,855013.56
8,538736.56,1682.0044,35533.047,9024.499
9,843.25104,59.42112,2282.2112,6117.2295
10,258.56284,75606.96,93083.164,1356.0555
11,355.57364,105578.945,1932.6343,368265.5
12,96894.73,15064.249,511.06125,1159.6914
13,79.19804,2219.9531,547513.3,615.4658
14,134.95921,152.0508,1648.4374,590.2802
15,146491.7,56.39814,9106.499,6046.153
16,184.65645,117035.32,7845.4272,1186.1962
17,1357.332,199.48096,597823.6,509115.6
18,201608.58,24922.945,9512.437,2297.1963
19,5480.2827,5223.541,642.2409,524.03076
20,649.78235,37.792778,22978.08,92.04482
21,380.3251,60.37307,2835.186,165.749
22,60918.07,208862.94,958867.4,1032615.94
23,146.1107,661.0838,1791.9912,26028.799
24,11080.459,566.2508,1152.749,1340.4175
25,11505.1045,160203.08,341770.8,651.27875
26,302748.44,1158.3323,2190.2527,105178.59
27,22794.773,32973.746,231160.36,358.49918
28,1170.8713,50968.883,1973.8835,91735.91
29,1109788.9,57.26733,528.235,963.3782
30,2958.8628,208.38963,307421.94,452.35553
31,1531.8873,71311.805,2561.234,3187.7947
32,377169.9,300.89346,1206.887,713862.4
33,3838.0198,325934.9,40734.297,1380.3662
34,100669.3,29932.441,73545.89,1056.0319
35,1536.9193,47008.438,11339.894,122015.234
36,155412.05,183584.84,1778.848,377.29144
37,1173406.0,169956.34,348966.94,400234.0
38,2235.2615,321.28107,457.01102,65811.02
39,13364.3955,59.72541,830.0117,643.8744
40,3993.901,1287818.9,243731.23,287268.44
41,61139.727,38440.94,2953.0835,2332.9314
42,53410.59,230704.52,4241.686,400701.72
43,266083.7,90271.695,1468267.5,9747.321
44,2887.585,528.4274,2584.6165,18356.6
45,1842.1904,1564.3912,2434.5693,548688.44
46,5774.5176,142722.42,5486.8306,148467.39
47,688941.25,1931.2845,94893.55,15744.442
48,474.31113,465373.3,4713.2344,71117.48
49,166657.12,566.8252,885221.6,432180.22
50,617759.94,924.50385,33939.684,2341.8342
51,177927.03,30804.676,39610.473,78483.02
52,1506.8076,855.9461,12869.217,490.60938
53,765107.3,317836.3,61279.168,883985.75
54,9251.477,5052.4883,253270.4,65099.17
55,407946.5,172.85406,5278.8228,2202.4565
56,110086.36,663251.7,24682.768,14239.564
57,111346.72,6265.5786,123312.08,906028.25
58,348.86392,146.57942,8895.687,15172.562
59,543663.7,193257.55,67640.7,665903.8
60,1456.376,26406.787,110937.44,9701.398
61,1369.3375,1780558.0,56047.6,1789.2307
62,325537.72,194578.92,49789.043,1626438.8
63,2703.844,55150.793,13612.566,17395.959
64,816880.75,431.41425,2969.0017,51450.598
65,2420.947,897819.94,10347254.0,2194461.5
66,1182.3855,7465.786,43636.113,6186.2295
67,542252.3,3520.458,2915256.2,15243.829
68,6662.073,188815.95,5918.896,236541.92
69,440656.6,1245388.5,518908.8,14519.817
70,25444.66,6431.147,43560.016,528652.7
71,3720.8867,6324.068,124468.22,5921.476
72,458470.44,567987.3,30901.672,549902.44
73,583.0559,10729.675,1818.2538,23785.713
74,77469.695,1435.3229,1914.0487,662269.3
75,8733.938,29055.637,21083.768,10870.27
76,190183.05,1599387.4,268.93814,45172.36
77,6882.7397,10551.233,9325.985,2373450.8
78,1325102.1,87376.02,16561.434,736854.3
79,3959.4514,179757.0,17563.883,816429.2
80,794443.8,3733.9944,12201.473,240874.2
81,985381.6,382490.22,13962.466,2007213.9
82,23873.346,4674.0347,102.23617,23941.688
83,5152.764,201982.11,11731.069,2337627.0
84,200767.06,5767.6777,14551.452,4405371.0
85,19483.303,288201.16,5645.804,4715807.5
86,9995659.0,1809.777,343.1181,16950632.0
87,3538831.8,2745.2363,17721.053,4713682.5
88,1843017.9,1015655.0,55810.035,2715375.8
89,226056.58,16679.596,7970.3027,55889.707
90,102237.86,2315396.2,219189.83,227102.75
91,4930747.0,36838.258,301618.3,1637268.9
92,80219.06,5825.0347,439.6414,11433.198
93,2277571.0,1158791.0,1315.2739,759640.8
94,633459.4,2550.8547,78799.484,278815.62
95,391647.4,31756.072,134228.53,7302192.0
96,1818629.4,102193.32,775.58093,2451940.2
97,1212954.4,461248.4,5271.9824,1532077.5
98,83461.44,1115272.5,83803.58,243072.73
99,249357.44,24118.217,1334.8312,15075360.0
100,5462919.5,8886.705,34404.0,13037008.0
101,1226570.8,360996.25,39148.914,5421990.5
102,753509.94,468737.12,291.2295,408853.1
103,183426.33,16904.896,3144.3271,1337446.4
104,7897104.5,9521.329,56608.973,6090.218
105,52840.504,1954640.0,259.90628,1134240.0
106,9225.62,34205.887,11593.203,23601.781
107,13460692.0,317243.94,482.4136,17179.188
108,19844742.0,467368.72,4572.2153,441969.38
109,57175.07,12971.489,145.20341,2926.9578
110,205307.11,268309.3,37985.867,1381377.5
111,5667.948,14441.532,2339.2373,47321.363
112,46694.023,12755.451,1041.243,9492.968
113,10226584.0,1342269.4,17799.88,2587309.5
114,236536.67,10829.072,81.06901,36265.31
115,899790.75,1732011.2,73251.16,34386.168
116,27245.822,79318.2,735.05945,1239900.9
117,696246.56,54439.23,43114.684,27844.146
118,10413.362,7396076.5,205.7827,1525709.9
119,910199.94,118268.58,31154.318,9528.685
120,3363228.5,165808.56,133483.2,647153.3
121,591756.7,15804.982,210516.17,3821.7427
122,1517948.8,3398147.8,1501.0411,783748.3
123,3113062.2,70024.836,200900.05,17682.201
124,89345.16,20265.275,6961.018,4405478.5
125,69809.43,526666.56,204962.55,64840.04
126,8515385.0,2280.0176,610.35046,51362.125
127,50391.203,603623.0,246189.19,321170.94
128,8099.499,1911.5308,13631.697,163856.67
129,1033879.1,302185.94,1979.5223,1748929.9
130,15843.0,26168.125,304944.72,77666.83
131,1184709.4,1039035.2,2580.46,405241.56
132,16880.496,44123.42,309518.47,28386.01
133,12346.824,224951.31,36535.37,26266.615
134,3966109.5,1714338.4,53667.21,710045.7
135,38532.414,220192.53,2036.4454,6228.7603
136,1035722.06,1364646.1,175375.11,2198610.5
137,2547.9258,7763.4697,10939.965,24560.828
138,449251.2,2115947.8,32357.082,924986.1
139,5954.5264,45024.008,242594.03,7105.297
140,3375569.5,147931.56,946.8679,136621.61
141,2647445.8,2494475.2,257010.12,1726824.6
142,35658.086,70879.17,1244.2206,200106.77
143,15400.827,732898.1,80290.086,3281935.0
144,1770437.5,760408.0,2460.3645,720913.3
